INFO:root: tact: 57 acc: 7 memory_address: 1 PC: 1 inst: {'opcode': 'SUB', 'address': 999}
INFO:root: tact: 58 acc: 7 memory_address: 999 PC: 2 inst: {'opcode': 'SUB', 'address': 999}
INFO:root: tact: 59 acc: 7 memory_address: 2 PC: 2 inst: {'opcode': 'JMPNSNZ', 'address': 998}
INFO:root: tact: 60 acc: 7 memory_address: 2 PC: 4 inst: {'opcode': 'JMPNSNZ', 'address': 998}
INFO:root: tact: 61 acc: 7 memory_address: 4 PC: 4 inst: {'opcode': 'READ', 'address': 1000}
INFO:root: tact: 62 acc: 7 memory_address: 1000 PC: 5 inst: {'opcode': 'READ', 'address': 1000}
INFO:root: tact: 63 acc: 7 memory_address: 5 PC: 5 inst: {'opcode': 'SUB', 'address': 998}
INFO:root: tact: 64 acc: 6 memory_address: 998 PC: 6 inst: {'opcode': 'SUB', 'address': 998}
INFO:root: tact: 65 acc: 6 memory_address: 6 PC: 6 inst: {'opcode': 'WRITE', 'address': 1000}
INFO:root: tact: 66 acc: 6 memory_address: 1000 PC: 7 inst: {'opcode': 'WRITE', 'address': 1000}
INFO:root: tact: 67 acc: 6 memory_address: 7 PC: 7 inst: {'opcode': 'READ', 'address': 1000}
INFO:root: tact: 68 acc: 6 memory_address: 1000 PC: 8 inst: {'opcode': 'READ', 'address': 1000}
INFO:root: tact: 69 acc: 6 memory_address: 8 PC: 8 inst: {'opcode': 'OUTPUT', 'address': 0}
INFO:root: tact: 70 acc: 6 memory_address: 8 PC: 9 inst: {'opcode': 'OUTPUT', 'address': 0}
INFO:root: tact: 71 acc: 6 memory_address: 9 PC: 9 inst: {'opcode': 'JUMP', 'address': -9}
INFO:root: tact: 72 acc: 6 memory_address: 9 PC: 0 inst: {'opcode': 'JUMP', 'address': -9}
INFO:root: tact: 73 acc: 6 memory_address: 0 PC: 0 inst: {'opcode': 'READ', 'address': 1000}
INFO:root: tact: 74 acc: 6 memory_address: 1000 PC: 1 inst: {'opcode': 'READ', 'address': 1000}
INFO:root: tact: 75 acc: 6 memory_address: 1 PC: 1 inst: {'opcode': 'SUB', 'address': 999}
INFO:root: tact: 76 acc: 6 memory_address: 999 PC: 2 inst: {'opcode': 'SUB', 'address': 999}
INFO:root: tact: 77 acc: 6 memory_address: 2 PC: 2 inst: {'opcode': 'JMPNSNZ', 'address': 998}
INFO:root: tact: 78 acc: 6 memory_address: 2 PC: 4 inst: {'opcode': 'JMPNSNZ', 'address': 998}
INFO:root: tact: 79 acc: 6 memory_address: 4 PC: 4 inst: {'opcode': 'READ', 'address': 1000}
INFO:root: tact: 80 acc: 6 memory_address: 1000 PC: 5 inst: {'opcode': 'READ', 'address': 1000}
INFO:root: tact: 81 acc: 6 memory_address: 5 PC: 5 inst: {'opcode': 'SUB', 'address': 998}
INFO:root: tact: 82 acc: 5 memory_address: 998 PC: 6 inst: {'opcode': 'SUB', 'address': 998}
INFO:root: tact: 83 acc: 5 memory_address: 6 PC: 6 inst: {'opcode': 'WRITE', 'address': 1000}
INFO:root: tact: 84 acc: 5 memory_address: 1000 PC: 7 inst: {'opcode': 'WRITE', 'address': 1000}
INFO:root: tact: 85 acc: 5 memory_address: 7 PC: 7 inst: {'opcode': 'READ', 'address': 1000}
INFO:root: tact: 86 acc: 5 memory_address: 1000 PC: 8 inst: {'opcode': 'READ', 'address': 1000}
INFO:root: tact: 87 acc: 5 memory_address: 8 PC: 8 inst: {'opcode': 'OUTPUT', 'address': 0}
INFO:root: tact: 88 acc: 5 memory_address: 8 PC: 9 inst: {'opcode': 'OUTPUT', 'address': 0}
INFO:root: tact: 89 acc: 5 memory_address: 9 PC: 9 inst: {'opcode': 'JUMP', 'address': -9}
INFO:root: tact: 90 acc: 5 memory_address: 9 PC: 0 inst: {'opcode': 'JUMP', 'address': -9}
INFO:root: tact: 91 acc: 5 memory_address: 0 PC: 0 inst: {'opcode': 'READ', 'address': 1000}
INFO:root: tact: 92 acc: 5 memory_address: 1000 PC: 1 inst: {'opcode': 'READ', 'address': 1000}
INFO:root: tact: 93 acc: 5 memory_address: 1 PC: 1 inst: {'opcode': 'SUB', 'address': 999}
INFO:root: tact: 94 acc: 5 memory_address: 999 PC: 2 inst: {'opcode': 'SUB', 'address': 999}
INFO:root: tact: 95 acc: 5 memory_address: 2 PC: 2 inst: {'opcode': 'JMPNSNZ', 'address': 998}
INFO:root: tact: 96 acc: 5 memory_address: 2 PC: 4 inst: {'opcode': 'JMPNSNZ', 'address': 998}
INFO:root: tact: 97 acc: 5 memory_address: 4 PC: 4 inst: {'opcode': 'READ', 'address': 1000}
INFO:root: tact: 98 acc: 5 memory_address: 1000 PC: 5 inst: {'opcode': 'READ', 'address': 1000}
INFO:root: tact: 99 acc: 5 memory_address: 5 PC: 5 inst: {'opcode': 'SUB', 'address': 998}
